July 2020 - June 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",65.4,114,1.5,63.9
AL-003,"Baldwin County",67.4,92,0.6,66.8
AL-005,"Barbour County",65.3,86,0.5,64.8
AL-007,"Bibb County",63.3,83,0.6,62.7
AL-009,"Blount County",62.0,109,1.4,60.6
AL-011,"Bullock County",65.3,108,1.1,64.2
AL-013,"Butler County",66.1,114,1.5,64.6
AL-015,"Calhoun County",62.4,112,1.5,60.9
AL-017,"Chambers County",62.4,93,0.9,61.5
AL-019,"Cherokee County",61.6,99,1.0,60.6
AL-021,"Chilton County",63.8,100,1.1,62.7
AL-023,"Choctaw County",65.3,93,0.8,64.5
AL-025,"Clarke County",66.2,110,1.3,64.9
AL-027,"Clay County",61.8,104,1.1,60.7
AL-029,"Cleburne County",61.6,116,1.6,60
AL-031,"Coffee County",66.3,97,0.9,65.4
AL-033,"Colbert County",61.1,105,1.1,60
AL-035,"Conecuh County",66.9,114,1.5,65.4
AL-037,"Coosa County",63.4,103,1.1,62.3
AL-039,"Covington County",66.5,100,1.0,65.5
AL-041,"Crenshaw County",65.7,109,1.3,64.4
AL-043,"Cullman County",61.4,102,1.1,60.3
AL-045,"Dale County",66.5,94,0.8,65.7
AL-047,"Dallas County",65.5,108,1.1,64.4
AL-049,"DeKalb County",59.8,81,0.5,59.3
AL-051,"Elmore County",65.3,115,1.5,63.8
AL-053,"Escambia County",67.0,103,1.0,66
AL-055,"Etowah County",61.9,101,1.0,60.9
AL-057,"Fayette County",62.6,84,0.6,62
AL-059,"Franklin County",60.7,92,0.8,59.9
AL-061,"Geneva County",66.9,97,0.9,66
AL-063,"Greene County",64.1,72,0.3,63.8
AL-065,"Hale County",63.9,69,0.2,63.7
AL-067,"Henry County",66.4,91,0.7,65.7
AL-069,"Houston County",67.4,103,0.9,66.5
AL-071,"Jackson County",60.1,87,0.7,59.4
AL-073,"Jefferson County",62.8,96,1.0,61.8
AL-075,"Lamar County",62.4,72,0.4,62
AL-077,"Lauderdale County",60.5,102,1.0,59.5
AL-079,"Lawrence County",60.4,71,0.3,60.1
AL-081,"Lee County",63.7,91,0.7,63
AL-083,"Limestone County",60.1,63,0.2,59.9
AL-085,"Lowndes County",66.2,117,1.6,64.6
AL-087,"Macon County",65.1,106,1.0,64.1
AL-089,"Madison County",60.5,82,0.6,59.9
AL-091,"Marengo County",65.0,92,0.7,64.3
AL-093,"Marion County",61.3,78,0.5,60.8
AL-095,"Marshall County",61.3,99,0.9,60.4
AL-097,"Mobile County",67.4,99,1.0,66.4
AL-099,"Monroe County",66.8,115,1.7,65.1
AL-101,"Montgomery County",66.4,118,1.9,64.5
AL-103,"Morgan County",61.0,92,0.8,60.2
AL-105,"Perry County",64.1,84,0.5,63.6
AL-107,"Pickens County",63.5,77,0.4,63.1
AL-109,"Pike County",65.6,100,1.0,64.6
AL-111,"Randolph County",61.8,108,1.3,60.5
AL-113,"Russell County",64.7,84,0.5,64.2
AL-115,"St. Clair County",62.4,106,1.2,61.2
AL-117,"Shelby County",62.9,96,0.9,62
AL-119,"Sumter County",64.5,83,0.5,64
AL-121,"Talladega County",62.7,96,1.0,61.7
AL-123,"Tallapoosa County",63.1,98,0.9,62.2
AL-125,"Tuscaloosa County",63.5,83,0.5,63
AL-127,"Walker County",62.3,91,0.7,61.6
AL-129,"Washington County",66.3,99,0.9,65.4
AL-131,"Wilcox County",66.0,109,1.2,64.8
AL-133,"Winston County",60.6,77,0.4,60.2
AZ-001,"Apache County",52.3,121,2.6,49.7
AZ-003,"Cochise County",63.4,124,3.0,60.4
AZ-005,"Coconino County",55.3,125,3.6,51.7
AZ-007,"Gila County",62.2,125,3.7,58.5
